hr	biosample_type
gm12878_1_1	cell_line
gm12878_1_2	cell_line
gm12878_1_3	cell_line
gm12878_1_4	cell_line
gm12878_3_1	cell_line
gm12878_2_1	cell_line
gm12878_2_2	cell_line
pgp1_1_1	cell_line
pgp1_1_2	cell_line
h9_1_1	cell_line
h9_1_2	cell_line
hct116_1_1	cell_line
hepg2_2_1	cell_line
hepg2_2_2	cell_line
hepg2_1_1	cell_line
hffc6_1_1	cell_line
hffc6_1_2	cell_line
hffc6_1_3	cell_line
hl60_1_1	cell_line
hl60_1_2	cell_line
imr90_1_1	cell_line
k562_2_1	cell_line
k562_2_2	cell_line
k562_1_1	cell_line
k562_3_1	cell_line
k562_3_2	cell_line
mcf7_1_1	cell_line
panc1_1_1	cell_line
pc3_1_1	cell_line
pgp1_astro_1_1	cell_line
pgp1_astro_1_2	cell_line
h9_chondro_1_1	cell_line
h9_chondro_1_2	cell_line
h9_chondro_1_3	cell_line
h9_de_1_1	cell_line
h9_de_1_2	cell_line
pgp1_endo_1_1	cell_line
pgp1_endo_1_2	cell_line
pgp1_excite_neuron_1_1	cell_line
pgp1_excite_neuron_1_2	cell_line
h9_neural_crest_1_1	cell_line
h9_neural_crest_1_2	cell_line
h9_osteocyte_1_1	cell_line
h9_osteocyte_1_2	cell_line
h9_panc_progen_1_1	cell_line
h9_panc_progen_1_2	cell_line
h9_panc_beta_1_1	cell_line
h9_panc_beta_1_2	cell_line
adrenal_gland_1_1	tissue
adrenal_gland_3_1	tissue
adrenal_gland_2_1	tissue
aorta_1_1	tissue
aorta_2_1	tissue
cardiac_septum_1_1	tissue
heart_left_ventricle_4_1	tissue
heart_left_ventricle_1_1	tissue
heart_left_ventricle_3_1	tissue
heart_left_ventricle_2_1	tissue
heart_right_ventricle_1_1	tissue
heart_right_ventricle_3_1	tissue
heart_right_ventricle_2_1	tissue
kidney_1_1	tissue
left_cardiac_atrium_1_1	tissue
left_colon_1_1	tissue
left_lung_1_1	tissue
left_lung_2_1	tissue
left_ventricle_myocardium_inferior_1_1	tissue
left_ventricle_myocardium_superior_1_1	tissue
lower_lobe_of_left_lung_1_1	tissue
lower_lobe_of_left_lung_2_1	tissue
lower_lobe_of_right_lung_1_1	tissue
mesenteric_fat_pad_1_1	tissue
mucosa_of_descending_colon_1_1	tissue
mucosa_of_descending_colon_2_1	tissue
ovary_3_1	tissue
ovary_1_1	tissue
ovary_2_1	tissue
posterior_vena_cava_1_1	tissue
posterior_vena_cava_2_1	tissue
psoas_muscle_2_1	tissue
psoas_muscle_1_1	tissue
right_cardiac_atrium_1_1	tissue
right_cardiac_atrium_3_1	tissue
right_cardiac_atrium_4_1	tissue
right_cardiac_atrium_2_1	tissue
right_lobe_of_liver_1_1	tissue
right_lobe_of_liver_2_1	tissue
right_ventricle_myocardium_inferior_1_1	tissue
right_ventricle_myocardium_superior_1_1	tissue
upper_lobe_of_right_lung_1_1	tissue
